ID;X1;Y1;X2;Y2;length;length_unit;zone;speed;CAR;LDV;HDV;BUS;VEHICLETYPE;roadtype;pollutant;emissionfactor;emission_factor_unit;emission;emission_unit;fleet
1281;4957831.08;2938506.95;4957942.84;2938465.92;119.04415842527482;m;default;46;4840827.93182534;387683.6044596109;1139116.0786522867;622.6543841692254;HDV;U;NO2;2.80685702391081E-4;kg/vkm;38.06241693247256;kg;default
1281;4957831.08;2938506.95;4957942.84;2938465.92;119.04415842527482;m;default;46;4840827.93182534;387683.6044596109;1139116.0786522867;622.6543841692254;BUS;U;NO2;4.902659772153598E-4;kg/vkm;0.03634016503187277;kg;default
1281;4957831.08;2938506.95;4957942.84;2938465.92;119.04415842527482;m;default;46;4840827.93182534;387683.6044596109;1139116.0786522867;622.6543841692254;CAR;U;PM25;2.1665133228521036E-5;kg/vkm;12.485015878649573;kg;default
1281;4957831.08;2938506.95;4957942.84;2938465.92;119.04415842527482;m;default;46;4840827.93182534;387683.6044596109;1139116.0786522867;622.6543841692254;LDV;U;PM25;5.9990994397812573E-5;kg/vkm;2.76867248392526;kg;default
1281;4957831.08;2938506.95;4957942.84;2938465.92;119.04415842527482;m;default;46;4840827.93182534;387683.6044596109;1139116.0786522867;622.6543841692254;HDV;U;PM25;9.465688082779518E-5;kg/vkm;12.835957203744599;kg;default
1281;4957831.08;2938506.95;4957942.84;2938465.92;119.04415842527482;m;default;46;4840827.93182534;387683.6044596109;1139116.0786522867;622.6543841692254;BUS;U;PM25;1.1991791978855947E-4;kg/vkm;0.008888719996739361;kg;default
1281;4957831.08;2938506.95;4957942.84;2938465.92;119.04415842527482;m;default;46;4840827.93182534;387683.6044596109;1139116.0786522867;622.6543841692254;CAR;U;PM10;3.584394291038812E-5;kg/vkm;20.655870964157174;kg;default
1281;4957831.08;2938506.95;4957942.84;2938465.92;119.04415842527482;m;default;46;4840827.93182534;387683.6044596109;1139116.0786522867;622.6543841692254;LDV;U;PM10;7.940254071781254E-5;kg/vkm;3.664543851054727;kg;default
1281;4957831.08;2938506.95;4957942.84;2938465.92;119.04415842527482;m;default;46;4840827.93182534;387683.6044596109;1139116.0786522867;622.6543841692254;HDV;U;PM10;1.7462624166090306E-4;kg/vkm;23.680211570545627;kg;default
1281;4957831.08;2938506.95;4957942.84;2938465.92;119.04415842527482;m;default;46;4840827.93182534;387683.6044596109;1139116.0786522867;622.6543841692254;BUS;U;PM10;1.8407513797644178E-4;kg/vkm;0.013644269036009852;kg;default
1283;4957168.61;2938306.49;4957282.16;2938295.11;114.11856835851738;m;default;50;405835.79384579044;14183.546504619912;33685.9229484723;0.0;CAR;U;NOX;3.701876739227052E-4;kg/vkm;17.144649736870846;kg;default
1283;4957168.61;2938306.49;4957282.16;2938295.11;114.11856835851738;m;default;50;405835.79384579044;14183.546504619912;33685.9229484723;0.0;LDV;U;NOX;8.626055611834648E-4;kg/vkm;1.3962185553847244;kg;default
1283;4957168.61;2938306.49;4957282.16;2938295.11;114.11856835851738;m;default;50;405835.79384579044;14183.546504619912;33685.9229484723;0.0;HDV;U;NOX;0.002133317120772807;kg/vkm;8.200874850706922;kg;default
1283;4957168.61;2938306.49;4957282.16;2938295.11;114.11856835851738;m;default;50;405835.79384579044;14183.546504619912;33685.9229484723;0.0;BUS;U;NOX;0.00377974137509014;kg/vkm;0.0;kg;default
1283;4957168.61;2938306.49;4957282.16;2938295.11;114.11856835851738;m;default;50;405835.79384579044;14183.546504619912;33685.9229484723;0.0;CAR;U;NO2;1.1946856774315212E-4;kg/vkm;5.532995539310262;kg;default
1283;4957168.61;2938306.49;4957282.16;2938295.11;114.11856835851738;m;default;50;405835.79384579044;14183.546504619912;33685.9229484723;0.0;LDV;U;NO2;3.4015483108394093E-4;kg/vkm;0.55057665778501;kg;default
1283;4957168.61;2938306.49;4957282.16;2938295.11;114.11856835851738;m;default;50;405835.79384579044;14183.546504619912;33685.9229484723;0.0;HDV;U;NO2;2.680043263813635E-4;kg/vkm;1.0302593640205644;kg;default
1283;4957168.61;2938306.49;4957282.16;2938295.11;114.11856835851738;m;default;50;405835.79384579044;14183.546504619912;33685.9229484723;0.0;BUS;U;NO2;4.5892204202847413E-4;kg/vkm;0.0;kg;default
1283;4957168.61;2938306.49;4957282.16;2938295.11;114.11856835851738;m;default;50;405835.79384579044;14183.546504619912;33685.9229484723;0.0;CAR;U;PM25;2.0917402514392446E-5;kg/vkm;0.9687560250568468;kg;default
