year	month	day	hour	O3 (ug/m3)	NOX (ug/m3)	NO2 (ug/m3)	PM25 (ug/m3)	PM10 (ug/m3)
2015	8	24	6	45.1600790024	4.21345450671	4.08057974407	3.37456229574	4.95727698632
2015	8	24	7	45.2695827484	5.81080012066	5.43176758289	3.90880523237	5.66384100914
2015	8	24	8	49.7847989209	4.53362532627	4.23770749569	3.02998267089	4.56908333586
2015	8	24	9	49.9308204651	4.91333285262	4.66107457876	2.37344790472	3.79583751084
2015	8	24	10	52.9051647186	4.02478167185	3.86525928974	2.77774643898	3.9322924614
2015	8	24	11	60.6111793518	3.16794725886	2.96704870462	2.73496353626	3.78877949715
2015	8	24	12	61.5361337662	3.11389622641	2.86275440871	1.83343750238	2.94671231508
2015	8	24	13	63.4308843613	1.69625116728	1.51860836148	1.56352493167	3.16953739698
2015	8	24	14	64.1810827172	1.31986359889	1.21519801021	1.22270980477	3.49013900757
2015	8	24	15	65.020788272	1.35107414107	1.24635277122	1.32916899693	3.53844434023
2015	8	24	16	66.0422989347	1.66603700329	1.54248823495	1.61145332456	3.53474223614
2015	8	24	17	65.5456076555	1.97828284993	1.89776906371	1.49088793803	5.38310468197
2015	8	24	18	65.9519244312	1.92045997204	1.86063492298	2.06229888772	2.89515435696
2015	8	24	19	67.4167423248	2.21232084836	2.20667144861	0.753934389898	2.46180832386
2015	8	24	20	67.1318759918	2.80612957478	2.80612957478	1.3027026683	3.32316003765
2015	8	24	21	65.7242088318	4.04466366768	4.04466366768	1.50290581584	3.08495873213
2015	8	24	22	59.555434227	4.2925198331	4.2925198331	1.2927083075	2.80086556526
2015	8	24	23	57.4507115335	4.24752032757	4.24752032757	2.3294697597	2.91071091819
2015	8	25	0	55.8032080799	3.2280845046	3.2280845046	1.64702835679	2.81137864829
2015	8	25	1	53.4043440789	3.13464003801	3.13464003801	1.33507111669	2.19102305174
2015	8	25	2	52.1416854858	2.15297591613	2.15297591613	3.09805220366	3.99273824692
2015	8	25	3	50.8289048098	1.93802639842	1.93802639842	1.15774561006	2.25373503019
2015	8	25	4	50.4514875412	2.30675584078	2.30675584078	3.35227658851	5.09741973781
2015	8	25	5	49.5707783056	1.95260923798	1.95255934518	3.1658438296	4.86539614201
2015	8	25	6	47.9901866913	2.52616375326	2.51712621332	3.63970983028	5.5524790287
2015	8	25	7	47.4332747927	2.77909651822	2.63021772781	3.61773812771	6.67012923482
2015	8	25	8	47.134885788	2.76481101344	2.53076940775	3.5018362999	7.74481368065
2015	8	25	9	47.7063846588	2.76538420711	2.47478118994	3.05432871408	6.65691208839
2015	8	25	10	50.5973144645	2.39339771313	2.10817223787	2.78004527092	5.96841330912
2015	8	25	11	54.2900007495	2.19071731744	1.92641836405	2.29674077034	6.75996053219
2015	8	25	12	59.6614305127	1.85608216156	1.65786638856	2.11397068174	6.56626176834
2015	8	25	13	65.4209945597	1.89700392137	1.70063298941	2.05767626665	5.7198677595
2015	8	25	14	67.0190867283	1.74947754571	1.59117415547	1.93752208352	5.10908895388
2015	8	25	15	68.7839863978	1.55333551203	1.44018178583	2.42231673725	4.34311367963
2015	8	25	16	67.333694458	1.92559353886	1.82141834497	2.3061142022	5.03924714013
2015	8	25	17	67.7544338089	2.34448795287	2.26437126058	3.13544672728	5.24176490307
2015	8	25	18	63.8616542816	2.95597282892	2.93913155607	3.97790167606	5.92630541325
2015	8	25	19	63.2001075745	2.80668934705	2.80558515502	3.88357847929	6.19746103901
2015	8	25	20	62.0660095215	2.65438812971	2.65438812971	3.99017983675	5.76065504551
2015	8	25	21	60.1634912491	2.85824637243	2.85824637243	3.4291720763	5.49518946618
2015	8	25	22	56.9231777191	2.9699960793	2.9699960793	3.23283553123	5.29554605484
2015	8	25	23	55.8318487843	2.53733420372	2.53733420372	3.34288973095	5.8080489981
2015	8	26	0	54.2601222992	2.46255526581	2.46255526581	3.19885593653	6.87296950817
2015	8	26	1	52.5367259979	2.28854670297	2.28854670297	3.69637529617	7.78455626965
2015	8	26	2	51.8081083298	2.35745121888	2.35745121888	3.85893690586	8.09027777864
