ID	X1	Y1	X2	Y2	CAR	LDV	HDV	BUS	road type	Speed	Height
159589	5.1132242	50.1710057	5.113873	50.1710562	247797.5175	32408.93868	21312.88669	2892.208636	R	70	0
159612	5.1186678	50.1044335	5.1189345	50.1042165	1100938.204	143989.4924	171408.0735	6826.444334	H	120	0
159616	5.1878061	50.1334706	5.1843752	50.1355519	5999415.522	784651.4839	516005.4246	70023.14455	R	90	0
159719	5.1740381	50.1674833	5.1865035	50.1673535	218055.9288	28519.09615	18754.83399	2545.074894	R	90	0
159721	5.1118851	50.1585489	5.1136463	50.1545129	29741.58862	3889.842529	2558.052698	347.1337419	R	82	0
159722	5.114241	50.1165427	5.1164063	50.1163335	191687.3991	25070.40921	16486.89566	2237.310352	R	82	0
159739	5.1904134	50.1284806	5.1895987	50.1299505	4019758.39	525736.111	345736.535	46917.25748	R	90	0
159740	5.1878101	50.1313812	5.1878332	50.1334283	5999415.522	784651.4839	516005.4246	70023.14455	R	90	0
159847	5.1102986	50.148127	5.1097307	50.1454118	29741.58862	3889.842529	2558.052698	347.1337419	R	50	0
159848	5.1134603	50.152869	5.1128461	50.1523046	29741.58862	3889.842529	2558.052698	347.1337419	R	50	0
159850	5.1130863	50.1712322	5.1126812	50.1709888	9911.588829	1296.316758	852.4886438	115.6847054	R	82	0
159871	5.1999812	50.1504205	5.2082383	50.1514314	5999415.522	784651.4839	516005.4246	70023.14455	R	90	0
159976	5.116145	50.1637369	5.1156906	50.1632933	29741.58862	3889.842529	2558.052698	347.1337419	R	82	0
160094	5.1430074	50.108581	5.1449188	50.1085279	5999415.522	784651.4839	516005.4246	70023.14455	R	50	0
160095	5.1108208	50.1707481	5.1126812	50.1709888	227967.5177	29815.41291	19607.32263	2660.759599	R	70	0
160098	5.1127485	50.1518822	5.1121156	50.1513937	29741.58862	3889.842529	2558.052698	347.1337419	R	50	0
160264	5.1129449	50.1176822	5.114241	50.1165427	191687.3991	25070.40921	16486.89566	2237.310352	R	82	0
160333	5.1367187	50.1669969	5.1422143	50.1671448	218055.9288	28519.09615	18754.83399	2545.074894	R	90	0
160334	5.1708515	50.1675173	5.1740381	50.1674833	218055.9288	28519.09615	18754.83399	2545.074894	R	90	0
160341	5.1154861	50.1654776	5.1167808	50.16452	29741.58862	3889.842529	2558.052698	347.1337419	R	82	0
160342	5.1167808	50.16452	5.116145	50.1637369	29741.58862	3889.842529	2558.052698	347.1337419	R	82	0
160348	5.1155074	50.1069889	5.1186678	50.1044335	1100938.204	143989.4924	171408.0735	6826.444334	H	120	0
